央视直播,#genre#
CCTV4-中文国际,http://60.26.15.51:85/tsfile/live/16011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://60.26.15.51:85/tsfile/live/16012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://60.26.15.51:85/tsfile/live/16013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-国防军事,http://60.26.15.51:85/tsfile/live/16014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://60.26.15.51:85/tsfile/live/16015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://60.26.15.51:85/tsfile/live/16016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://60.26.15.51:85/tsfile/live/16017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://60.26.15.51:85/tsfile/live/16018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://60.26.15.51:85/tsfile/live/16019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://60.26.15.51:85/tsfile/live/16020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://60.26.15.51:85/tsfile/live/16021_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://60.26.15.51:85/tsfile/live/16022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16-奥林匹克,http://60.26.15.51:85/tsfile/live/16023_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17-农业农村,http://60.26.15.51:85/tsfile/live/16024_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+-体育赛事,http://60.26.15.51:85/tsfile/live/16025_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://60.26.15.51:85/tsfile/live/16026_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://60.26.15.51:85/tsfile/live/16027_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://60.26.15.51:85/tsfile/live/16028_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://60.26.15.51:85/tsfile/live/16029_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://60.26.15.51:85/tsfile/live/16030_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://60.26.15.51:85/tsfile/live/16031_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://60.26.15.51:85/tsfile/live/16032_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://60.26.15.51:85/tsfile/live/16033_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://60.26.15.51:85/tsfile/live/16034_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://60.26.15.51:85/tsfile/live/16035_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://60.26.15.51:85/tsfile/live/16036_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://60.26.15.51:85/tsfile/live/16037_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://60.26.15.51:85/tsfile/live/16038_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://60.26.15.51:85/tsfile/live/16039_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://60.26.15.51:85/tsfile/live/16040_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://60.26.15.51:85/tsfile/live/16041_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://60.26.15.51:85/tsfile/live/16042_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://60.26.15.51:85/tsfile/live/16043_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://60.26.15.51:85/tsfile/live/16044_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://60.26.15.51:85/tsfile/live/16045_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://60.26.15.51:85/tsfile/live/16046_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://60.26.15.51:85/tsfile/live/16047_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://60.26.15.51:85/tsfile/live/16048_1.m3u8?key=txiptv&playlive=1&authid=0
输入有效酒店源的IP和端口： 
 

CCTV1-综合,http://101.66.194.123:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2-财经,http://101.66.194.123:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3-综艺,http://101.66.194.123:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4-国际,http://101.66.194.123:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5-体育,http://101.66.194.123:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6-电影,http://101.66.194.123:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7-军农,http://101.66.194.123:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8-电视剧,http://101.66.194.123:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9-纪录,http://101.66.194.123:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10-科教,http://101.66.194.123:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11-戏曲,http://101.66.194.123:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12-社会与法,http://101.66.194.123:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13-新闻,http://101.66.194.123:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14-少儿,http://101.66.194.123:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15-音乐,http://101.66.194.123:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://101.66.194.123:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://101.66.194.123:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://101.66.194.123:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://101.66.194.123:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://101.66.194.123:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://101.66.194.123:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://101.66.194.123:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://101.66.194.123:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://101.66.194.123:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://101.66.194.123:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://101.66.194.123:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://101.66.194.123:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://101.66.194.123:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://101.66.194.123:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://101.66.194.123:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://101.66.194.123:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
陕西卫视,http://101.66.194.123:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
山西卫视,http://101.66.194.123:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://101.66.194.123:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://101.66.194.123:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://101.66.194.123:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
金鹰卡通,http://101.66.194.123:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
宁夏卫视,http://101.66.194.123:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://101.66.194.123:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
浙江新闻,http://101.66.194.123:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
杭州影视,http://101.66.194.123:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
输入有效酒店源的IP和端口： 
 
CCTV1-综合,http://124.165.251.82:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://124.165.251.82:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://124.165.251.82:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://124.165.251.82:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://124.165.251.82:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://124.165.251.82:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://124.165.251.82:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://124.165.251.82:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://124.165.251.82:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://124.165.251.82:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://124.165.251.82:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://124.165.251.82:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://124.165.251.82:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://124.165.251.82:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://124.165.251.82:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://124.165.251.82:85/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
岚县电视台,http://124.165.251.82:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
吕梁一台,http://124.165.251.82:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
吕梁二台,http://124.165.251.82:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://124.165.251.82:85/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://124.165.251.82:85/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://124.165.251.82:85/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://124.165.251.82:85/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://124.165.251.82:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://124.165.251.82:85/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://124.165.251.82:85/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://124.165.251.82:85/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://124.165.251.82:85/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://124.165.251.82:85/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://124.165.251.82:85/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://124.165.251.82:85/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://124.165.251.82:85/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://124.165.251.82:85/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://124.165.251.82:85/tsfile/live/0129_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://124.165.251.82:85/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://124.165.251.82:85/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
